name,title,book(s),house,dateOfBirth,dateOfDeath,,culture,alias,reign,full name,other titles,born in,died in,royal house,predecessor,heir,successor,queen,issue,books,father,mother,coronation,spouse,personal arms,race,wife,actor,tv series,buried in,location,government,founded,religion,notable places,organizations,named for,current commander,size,banner,motto/war cry,founder,coat of arms,seat,current lord,region,overlord,words,cadet branch,ancestral weapon,population,conflict,date,place,result,author,country,language,series,genre(s),publisher,released,media type,pages,followed&#160;by,cover artist,isbn,purchase,disbanded
Erena Glover,,A Clash of Kings,House Glover,297 AC,,,Northmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eroeh,,A Game of Thrones,,,298 AC,,Lhazareen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erreck, Maester,A Storm of Swords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ermesande Hayford,Hayford,A Clash of Kings,House Hayford,298 AC,,,,,,,,,,,,,,,,,,,,Tyrek Lannister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erreg, King,The World of Ice and Fire,,,,,Andal, Erreg the Kinslayer,,,,,,,,,,,,,,,,,,Andal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erik Ironmaker,Lord Steward of the Iron Islands,A Feast for Crows,House Ironmaker,211 AC,,,Ironborn, Erik the Just<br>Erik Anvil-Breaker,,,,,,,,,,,,,,,,Asha Greyjoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Errok,,A Storm of Swords,,,,,Free Folk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erryk (guard),,A Storm of Swords,House Tyrell,,,,," ""Left"" or ""Right""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erren Florent,Ser,A Clash of Kings,House Florent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esgred,,A Clash of Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethan Glover,,A Game of Thrones,House Glover,,283 AC,,Northmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eustace (Braavos), Septon,A Feast for Crows,Faith of the Seven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eustace (Dance of the Dragons),Septon,The Rogue Prince,Faith of the Seven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eustace Brune,Dyre Den,A Feast for Crows,House Brune of the Dyre Den,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eustace Osgrey,Knight,The Sworn Sword,House Osgrey,Standfast,,,, The Knight of Standfast,,,,,,,,,,,,,,,,Rohanne Webber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eustace Hunter,Ser,A Feast for Crows,House Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eyrie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vale of Arryn,House Arryn,,Faith of the Seven,Moon Door,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eyron Stark,King in the North,A Clash of Kings,House Stark,,,,Northmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euron Greyjoy,,,,,,,Ironborn, Crow's Eye<br>Euron Crow's Eye,," Euron Greyjoy, the Third of His Name Since the Grey King",Iron King,267 AC,,House Greyjoy,Balon Greyjoy,,,,,A Game of Thrones,Quellon Greyjoy, Lady of House Sunderly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ezzelyno, Red Priest,A Feast for Crows,R'hllor,,,,Braavosi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ezzara,Blue Grace,A Dance with Dragons,,Meereen,,,Ghiscari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falena Stokeworth,Harrenhal,The World of Ice and Fire,House Stokeworth,125 AC,,,,,,,,,,,,,,,,,,,,Lucas Lothston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falia Flowers,,A Feast for Crows,House Hewett,281 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falyse Stokeworth,,A Clash of Kings,House Stokeworth,265 AC,300 AC,,,,,,,,,,,,,,,,,,,Balman Byrch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farlen,,A Game of Thrones,House Stark,,299 AC,Season 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferrego Antaryon,Sealord,A Feast for Crows,,,,,Braavosi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferny,,A Storm of Swords,,,,,Free Folk,,,,,,,,,,,,,,,,,Craster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fern,,A Storm of Swords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferret,,The Mystery Knight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fogo, Khalakka,A Game of Thrones,,,298 AC,,Dothraki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Blackfyre Rebellion,,,,,,Targaryen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forley Prester,Ser,A Game of Thrones,House Prester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flement Brax, Ser,A Game of Thrones,House Brax,,,,,,,,,,,,,,,,,,,,,Morya Frey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fornio,,A Storm of Swords,Night's Watch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fralegg,,A Feast for Crows,,,,,Ironborn, Fralegg the Strong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Franklyn Fowler,Skyreach,A Feast for Crows,House Fowler,,,,Dornishmen, The Old Hawk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Franklyn Frey,Ser,The Hedge Knight,House Frey,,,,Rivermen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frenya,,A Dance with Dragons,,,300 AC,,Free Folk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frynne,,A Feast for Crows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frenken, Maester,A Clash of Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gage,,A Game of Thrones,House Stark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galladon of Morne,Ser,A Feast for Crows,,,,,, Perfect Knight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galazza Galare,Green Grace,A Dance with Dragons,Graces,217 AC,,,Ghiscari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galbart Glover,Master of Deepwood Motte,A Game of Thrones,House Glover,Deepwood Motte,,Season 1,Northmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galt,,A Clash of Kings,Stone Crows,,,,Vale mountain clans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galtry the Green,Ser,The Mystery Knight,,,,,,,,,,,,,,,,,,,,,,,"<a href=""#cite_note-Rtmk.7B.7B.7B2.7D.7D.7D.7B.7B.7B3.7D.7D.7D-0"">[1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gallard, Archmaester,A Feast for Crows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galyeon of Cuy,,A Storm of Swords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gared,,A Game of Thrones,Night's Watch,231 AC,297 AC,Game of Thrones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gareth Clifton,Ser,A Feast for Crows,House Clifton,,,,,,,,,,,,,,,,,,,,,Jeyne Farman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gareth the Grey,Ser,The Sworn Sword,,,,,, Gareth the Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garigus, Wisdom,A Storm of Swords,Alchemists' Guild,,King's Landing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gariss,,A Clash of Kings,House Stark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garizon, Archmaester,A Feast for Crows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garrett Paege,,A Feast for Crows,House Paege,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garrison Prester,Feastfires,A Feast for Crows,House Prester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlan Tyrell,Ser,A Game of Thrones,House Tyrell of Brightwater Keep,277 AC,,,, Garlan the Gallant<br>Renly's ghost<br>Lord Renly's shade,,,,,,,,,,,,,,,,Leonette Fossoway, Two golden roses on green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garse Goodbrook,Ser,A Clash of Kings,House Goodbrook,,Twins,,,,,,,,,,,,,,,,,,,Kyra Frey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garth Greenfield,Knight,A Game of Thrones,House Greenfield,,,,Westerman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garth Greyfeather,,A Storm of Swords,Night's Watch,,300 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garth Hightower,Ser,A Feast for Crows,House Hightower,Oldtown,,,, Garth Greysteel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garth XII Gardener,,,,,,,,,," Garth of House Gardener, the Twelfth of His Name",King of the Reach,,,House Gardener,,,,,,A Feast For Crows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garth of Greenaway,,A Storm of Swords,Night's Watch,Greenaway,300 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garth of Oldtown,,A Storm of Swords,Night's Watch,,299 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gascoyne,Ser,A Feast for Crows,House Martell,,,,, Gascoyne of the Greenblood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gavin,,A Dance with Dragons,,,,,Free Folk, Gavin the Trader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gawen Swann,Stonehelm,The Hedge Knight,House Swann,152 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garrett Flowers,,A Game of Thrones,House Tyrell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gawen Glover,,A Clash of Kings,House Glover,295 AC,,,Northmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gawen Wylde,Ser,A Clash of Kings,House Wylde,,283 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gelmarr,,A Clash of Kings,House Greyjoy,,299 AC,,, The Grim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gawen Westerling,Crag,A Game of Thrones,House Westerling,,,,Westermen,,,,,,,,,,,,,,,,,Sybell Spicer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garse Flowers,,A Game of Thrones,House Tyrell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gendel,King-Beyond-the-Wall,The World of Ice and Fire,,,,,Free Folk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gerald Gower,Ser,A Storm of Swords,House Gower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gerardys,Grand Maester,The Rogue Prince,Blacks,,130 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gendry,Ser,A Game of Thrones,brotherhood without banners,284 AC,,Season 1,,hollow hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genna Lannister, Lady,A Game of Thrones,,245 AC,,,,,,,,,,,,,,,,,,,,Emmon Frey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garth Tyrell, Lord Seneschal,A Game of Thrones,House Tyrell,,,,, Garth the Gross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gerold Dayne,Ser,A Feast for Crows,House Dayne of High Hermitage,270 AC,,,Dorne, Darkstar,,,,,,,,,,,,,,,,,,Dornishmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gerold Grafton,Gulltown,A Feast for Crows,House Grafton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gerion Lannister,,The World of Ice and Fire,House Lannister,255 AC,291 AC,,, Gery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gerold Hightower,Ser,A Game of Thrones,House Hightower,,283 AC,,, The White Bull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gerold Lannister,Casterly Rock,The Sworn Sword,House Lannister,,244 AC,,Westerman, Gerold the Golden,,,,,,,,,,,,,,,,Alysanne Farman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gerris Drinkwater,Ser,A Dance with Dragons,House Drinkwater,275 AC,,,Dornish, Drink<br>Dornish Gerrold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gerren,,A Clash of Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghael, Lord,A Storm of Swords,,,,,Astapori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gevin Harlaw,,A Clash of Kings,House Harlaw,,299 AC,,Ironborn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghost of High Heart,,A Storm of Swords,,,,,, The woods witch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilbert Farring,Ser,A Storm of Swords,House Farring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gillam, Brother,A Feast for Crows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gladden Wylde,Ser,A Game of Thrones,House Wylde,,298 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilly,,A Clash of Kings,,282 AC,,Season 2,Free Folk,"<a href=""#cite_note-Racok23.7B.7B.7B3.7D.7D.7D-0"">[1]",,,,,,,,,,,,,,,,Craster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilwood Hunter,Ser,A Storm of Swords,House Hunter,250 AC,,,, Young Lord Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glendon Flowers,Ser,The Mystery Knight,,196 AC,,,, Glendon Ball<br>The Knight of the Pussywillows<br>Glendon the Bastard,,,,,,,,,,,,,,,,,"<a href=""#cite_note-Rtmk.7B.7B.7B2.7D.7D.7D.7B.7B.7B3.7D.7D.7D-1"">[2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glendon Hewett, Ser,A Storm of Swords,House Hewett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goady,,A Storm of Swords,Night's Watch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Godwyn,,A Game of Thrones,House Lannister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Godric Borrell,Sweetsister,A Feast for Crows,House Borrell,Sweetsister,,,Sistermen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Godry Farring,Ser,A Feast for Crows,House Farring,,,,, Godry the Giantslayer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goodwin,Ser,A Feast for Crows,House Tarth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212 AC,,,,,Harry Strickland," 10,000 men","<a href=""#cite_note-0"">[1]"," ""Our word is good as gold""<br>""Beneath the gold, the bitter steel""",Aegor Rivers,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gormon Peake,Starpike,The World of Ice and Fire,House Peake,,211 AC,,, Gormy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gormond Drumm,,A Feast for Crows,House Drumm,,,,Ironborn, Gormond the Oldfather,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gormond Goodbrother,,A Feast for Crows,House Goodbrother,282 AC,,,Ironborn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gorne,King-Beyond-the-Wall,The World of Ice and Fire,,,,,Free Folk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gorold Goodbrother, Lord of Hammerhorn,A Clash of Kings,House Goodbrother,,,,Ironborn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gowen Baratheon,,A Game of Thrones,House Baratheon,,,,,,,,,,,,,,,,,,,,,Tya Lannister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grance Morrigen,Ser,The Hedge Knight,House Morrigen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gran Goodbrother,,A Feast for Crows,House Goodbrother,,,,Ironborn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grazdan,Good Master,A Storm of Swords,,,299 AC,,Astapori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grazdan mo Eraz,,A Storm of Swords,Wise Masters,Yunkai,,,Ghiscari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grazdan mo Ullhor,Good Master,A Storm of Swords,Good Masters,,299 AC,,Astapori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grazdan zo Galare,,A Dance with Dragons,House of Galare,,,,Meereenese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grazdar zo Galare, Cupbearer,A Dance with Dragons,House of Galare,Meereen,,,Ghiscari, Grazhar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Gergen,,A Storm of Swords,,,,,, Green Gergen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Walrus,,A Dance with Dragons,,,,,Free Folk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenbeard,,A Storm of Swords,Brotherhood without banners,,,,Tyroshi, Greenbeard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gretchel,,A Feast for Crows,House Arryn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenn,,A Game of Thrones,Night's Watch,281 AC,,Mark Stanley,Westeros, Aurochs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gormon Tyrell,Maester,A Game of Thrones,Citadel,,,,, Maester Gormon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grey King,,,,,,,Ironborn,,Age of Heroes,,High King of the Iron Islands,,Drowned God,,,,,,,A Game of Thrones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
